objID,name,ra,dec,z,type
1.13732e+17,SDSS J120022.97+044651.7,180.09572,4.781043,0.27,Q
1.70782e+17,SDSS J150232.05+521902.1,225.633566,52.317257,1.33,Q
1.51792e+17,SDSS J124018.21+362932.4,190.075866,36.492344,0.19,AX
1.53942e+17,SDSS J160516.79+381726.1,241.32,38.290601,0.46,A
1.33652e+17,SDSS J114348.06+212234.5,175.950275,21.37625,0.76,Q
1.37613e+17,SDSS J222936.47+244041.7,337.401978,24.678245,0.58,Q
1.21052e+17,SDSS J131847.14+105245.0,199.696429,10.879186,0.84,Q
1.59282e+17,SDSS J153612.92+424415.3,234.053848,42.737566,0.48,A
1.4012e+17,SDSS J002512.07+264608.0,6.300271,26.768878,0.69,Q
1.484e+17,SDSS J002627.93+334004.7,6.61636,33.667963,0.75,Q
1.26032e+17,SDSS J101804.11+150137.0,154.517146,15.026961,2.39,Q
1.64442e+17,SDSS J140325.01+470221.5,210.854242,47.039307,0.63,Q
1.69092e+17,SDSS J115953.74+505445.5,179.973899,50.912614,2.11,Q
1.54712e+17,SDSS J112019.95+385544.4,170.083173,38.928987,1.15,Q
1.13312e+17,SDSS J150300.90+042529.2,225.753815,4.424796,2.32,Q
1.61022e+17,SDSS J163354.08+441114.1,248.475386,44.187254,2.27,Q
1.78231e+17,SDSS J094719.97+583144.3,146.833237,58.528968,0.94,QX
1.32642e+17,SDSS J162232.29+203203.9,245.634572,20.534422,0.98,QR
1.76392e+17,SDSS J140452.30+565940.4,211.217918,56.994546,0.59,Q
1.12512e+17,SDSS J141923.73+034558.6,214.848905,3.766275,1.07,QR
1.3649e+17,SDSS J014355.98+234434.0,25.983265,23.742792,0.73,Q
1.61332e+17,SDSS J143522.51+442640.3,218.843821,44.444559,1.76,Q
1.36383e+17,SDSS J230040.81+233926.4,345.170031,23.657314,0.78,Q
1.63782e+17,SDSS J125707.20+462918.1,194.280022,46.488374,0.76,Q
1.65631e+17,SDSS J085302.12+480128.7,133.258861,48.024633,0.54,Q
1.50712e+17,SDSS J134103.63+353551.6,205.26515,35.597674,0.66,QX
1.10493e+17,SDSS J212548.76+020442.3,321.453212,2.07843,0.51,A
1.71062e+17,SDSS J145031.02+523305.6,222.629288,52.551578,1.19,Q
1.0599e+17,SDSS J022230.45-014029.1,35.626936,-1.674808,0.9,Q
1.80372e+17,SDSS J150302.19+601831.5,225.759149,60.308752,0.54,Q
1.54072e+17,SDSS J152814.29+382352.9,232.059541,38.398039,0.6,Q
1.57163e+17,SDSS J164931.54+405806.0,252.381442,40.968359,1.78,Q
1.0415e+17,SDSS J004059.31-031224.8,10.247168,-3.206857,2.44,Q
1.56921e+17,SDSS J080713.47+404616.1,121.806135,40.77118,0.89,Q
1.10211e+17,SDSS J085829.92+015033.4,134.624676,1.842626,0.63,Q
1.75592e+17,SDSS J141523.81+561937.7,213.849247,56.327153,0.73,Q
1.51662e+17,SDSS J144224.54+362314.3,220.602275,36.387321,0.33,Q
1.65582e+17,SDSS J100518.58+475903.6,151.327404,47.984365,0.54,QX
1.62251e+17,SDSS J074156.54+451244.1,115.485597,45.212256,0.4,QX
1.16624e+17,SDSS J235926.57+071114.3,359.860744,7.187315,1.58,Q
1.23912e+17,SDSS J162046.51+131558.3,245.193809,13.266203,0.47,Q
1.52192e+17,SDSS J150031.99+364955.4,225.133298,36.832064,0.46,Q
1.0914e+17,SDSS J011609.91+005659.2,19.041332,0.949795,1.93,Q
1.60992e+17,SDSS J150400.35+440931.5,226.001471,44.158742,0.46,AX
1.0964e+17,SDSS J020431.26+012204.9,31.130272,1.368052,0.21,AX
1.48902e+17,SDSS J163246.55+340526.1,248.193964,34.090605,0.82,Q
1.52322e+17,SDSS J125148.21+365608.7,192.950898,36.935751,2.02,Q
1.45852e+17,SDSS J141834.48+313239.5,214.643675,31.544313,2.69,Q
1.45552e+17,SDSS J161013.67+311756.4,242.55696,31.298994,0.24,A
1.448e+17,SDSS J013957.20+303959.3,24.988344,30.66651,1.11,Q
1.18623e+17,SDSS J230828.23+085121.3,347.117636,8.85593,0.48,QX
1.0846e+17,SDSS J013201.09+002324.6,23.004552,0.390189,0.53,AX
1.4292e+17,SDSS J013506.29+290625.5,23.776224,29.107121,0.73,Q
1.4781e+17,SDSS J012625.96+331043.0,21.608202,33.17862,0.59,Q
1.29492e+17,SDSS J144457.06+175448.5,221.237765,17.913493,0.99,Q
1.39861e+17,SDSS J092523.45+263327.6,141.34773,26.557685,0.86,Q
1.70152e+17,SDSS J143510.52+514747.2,218.793844,51.796451,0.48,Q
1.2929e+17,SDSS J011716.38+174429.7,19.318277,17.741588,0.97,Q
1.17772e+17,SDSS J143959.27+080849.9,219.997014,8.147203,0.77,Q
1.54603e+17,SDSS J170603.36+385014.9,256.51402,38.83749,0.49,A
1.1009e+17,SDSS J004936.40+014436.3,12.401678,1.743462,1.23,Q
1.69511e+17,SDSS J094912.20+511528.8,147.300831,51.258013,0.36,AR
1.73122e+17,SDSS J113342.58+541612.9,173.427417,54.270257,0.44,Q
