source_id,phot_g_mean_mag,bp_rp,parallax,parallax_over_error,pm,b,l,ecl_lat,ecl_lon,ruwe,v
4243361374159366144,17.383543,0.055832,6.181177488733313,72.87919,478.6583,-17.78129084949516,45.61197132712184,21.757871640686627,307.4424048066414,1.049318,367.0563288156617
5006232026455470848,18.60774,1.50527,30.453606691329536,166.26512,2353.9111,-83.49711394378384,314.18073126240057,-34.8617013077621,355.1708122755664,1.065951,366.3782383026546
1177138458662659456,18.012196,-0.106245,4.1474682772096525,26.089624,319.87057,61.627002321778434,359.8976526937531,23.007255769534122,210.8852243443834,1.005414,365.56916748465636
2480893128736076544,19.54516,0.493137,6.669573418491122,17.73124,511.29565,-64.54388822406204,149.30315301455906,-12.945305591616192,20.623523082100025,1.018904,363.3727750335602
6471523921227261056,19.311556,1.087574,12.036800032886456,28.574963,921.38916,-37.917405742965364,346.22063981227274,-32.78273097868755,298.2793221224947,1.030237,362.83602013892687
1874523804732334464,17.245285,0.001913,2.7337612196992263,32.973778,209.24236,-30.584594140260855,86.3624495907691,28.855693268836067,350.17458883602916,1.050297,362.80007090465
3654933197991146496,18.803585,0.209583,3.8130141741997745,11.347694,291.84128,53.331721907055886,353.3097556409949,16.352840993182966,217.34028903046556,1.013308,362.7911135083492
2769824069889522432,19.136787,-0.2269,1.6048878741137311,6.001809,122.26642,-47.284285514220684,99.89516073981515,12.839334187300546,2.4653737209821127,0.986099,361.1110986843051
3834603740250328448,19.125467,0.232878,4.14677298668982,12.175795,315.54608,40.52630775678796,236.5365713147669,-10.562252640148014,150.32514183293273,1.093867,360.68731790104863
6410333629532786816,20.540476,1.087677,9.655955575378297,14.635927,732.4572,-45.19309674247616,332.9296693689087,-43.61431658566421,305.72084619934276,1.05022,359.5550092315854
255255545695309312,20.114513,0.245781,2.644062799521859,4.555739,200.55869,4.165416862465415,159.47888067749307,25.322000369194217,79.7409314903535,0.903311,359.54069188782967
6677077521256040576,17.847702,-0.263895,1.1269048405209943,7.859298,84.65296,-39.286358046845066,358.99912333215474,-23.647633625835475,303.1008112617955,1.049814,356.06825365948987
4624039375163907968,19.498024,0.196892,2.7390727841483646,11.332222,205.56009,-31.03686208409553,289.17421843848655,-78.90939260727367,279.5857071668158,1.044115,355.7243268694821
1449575655951553408,15.153316,-0.421029,0.6070059281889542,13.840808,45.486034,82.57337408602287,43.92657943923443,34.146884909249906,187.1368240025986,1.001382,355.19225268122415
