ID1	ID2	NGC	  RA1	      Dec1	  RA2	      Dec2	       cz    
0143    -999    -999    182.8434     18.0166    182.8431     18.0168          2331.5 
0144    -999    -999    182.8646      2.9253    182.8644      2.9262          1289.4 
0145    -999    -999    182.8945     24.0289    182.8948     24.0289          2545.1 
0146    -999    -999    182.9090     16.4784    182.9088     16.4784          2341.3 
0147    -999    -999    182.9180     12.9735    182.9180     12.9735          2220.0 
0148    -999    -999    182.9248     13.1965    182.9245     13.1963          1497.4 
0149      37    -999    182.9405     13.0243    182.9405     13.0242          2309.2 
0150    -999    -999    182.9414     13.2855    182.9414     13.2855          2465.8 
0151    -999    -999    182.9452     12.4938    182.9449     12.4940           669.2 
0152    -999    -999    182.9577     17.6768    182.9581     17.6765          2456.5 
0153    -999    4162    182.9690     24.1233    182.9702     24.1281          2688.1 
0154    -999    -999    182.9744     13.8083    182.9744     13.8084          2015.1 
0155    -999    -999    182.9905     20.0279    182.9906     20.0279          2455.7 
0156    -999    -999    182.9979      5.9172    182.9978      5.9174           758.7 
0157    -999    -999    183.0047     10.3982    183.0050     10.3985          1648.0 
0158    -999    -999    183.0455      2.8822    183.0455      2.8821          2092.9 
0159      46    -999    183.0457     12.8935    183.0463     12.8931          1415.8 
0160      47    4165    183.0493     13.2467    183.0491     13.2465          1889.1 
0161    -999    -999    183.0613      0.0724    183.0614      0.0723          2322.4 
0162      48    -999    183.0630     12.4881    183.0628     12.4881            20.2 
0163      49    4168    183.0717     13.2053    183.0719     13.2052          2280.4 
0164      50    -999    183.0791     15.4831    183.0791     15.4831          1213.0 
0165    -999    -999    183.0930     22.5914    183.0934     22.5914          2348.2 
0166      52    -999    183.0943      6.9798    183.0946      6.9794          2068.4 
0167      58    -999    183.1348     12.1240    183.1347     12.1238          2198.3 
0168      61    -999    183.1506      6.5020    183.1506      6.5021          2038.7 
0169    -999    -999    183.1697      6.8411    183.1697      6.8410          2287.1 
0170    -999    -999    183.1778     12.7629    183.1778     12.7628          1741.5 
0171      66    4178    183.1924     10.8655    183.1987     10.8755           441.9 
0172      67    -999    183.2018     13.9760    183.2019     13.9763          -198.8 
0173      68    -999    183.2047     13.3472    183.2047     13.3472          2410.6 
0174    -999    -999    183.2401     19.3618    183.2401     19.3619          2451.0 
0175    -999    -999    183.2495      7.2988    183.2494      7.2990          2211.3 
0176      73    4180    183.2627      7.0389    183.2654      7.0440          2263.0 
0177      74    -999    183.2690     15.8929    183.2696     15.8929           773.8 
0178    -999    -999    183.2898     13.5847    183.2892     13.5844          2082.7 
0179      77    -999    183.2945      7.2194    183.2946      7.2196          2147.0 
0180    -999    -999    183.3070     13.5228    183.3070     13.5228          2158.3 
0181    -999    -999    183.3236     13.1577    183.3241     13.1599          1915.3 
0182      81    -999    183.3599     14.7720    183.3595     14.7720          2061.2 
0183      82    -999    183.3829     10.3107    183.3827     10.3110          1613.0 
0184      87    -999    183.4197     15.4541    183.4215     15.4536          -157.6 
0185    -999    -999    183.4226      9.0111    183.4226      9.0112          1856.5 
0186      89    4189    183.4478     13.4263    183.4469     13.4248          2110.9 
0187      93    -999    183.4510     12.6906    183.4511     12.6905           952.2 
0188      92    4192    183.4524     14.8992    183.4473     14.8991          -119.8 
0189    -999    -999    183.4540     24.2652    183.4536     24.2634           944.8 
0190      94    4191    183.4599      7.2009    183.4600      7.2009          2646.0 
0191      96    -999    183.4716      7.4544    183.4717      7.4544          2120.4 
0192      97    4193    183.4734     13.1727    183.4733     13.1728          2464.1 
0193    -999    -999    183.5057     17.9001    183.5009     17.9000          2316.8 
0194      99    -999    183.5089      6.7230    183.5091      6.7232          2459.1 
0195    -999    -999    183.5277      1.6615    183.5278      1.6611           514.1 
0196     105    -999    183.5402      7.7750    183.5368      7.7762          1205.8 
0197    -999    -999    183.5502     12.7831    183.5504     12.7829           625.3 
0198    -999    -999    183.5566      8.9081    183.5575      8.9083          2000.2 
0199     109    -999    183.5601     13.5428    183.5601     13.5429          1296.8 
0200    -999    -999    183.5829     13.4517    183.5828     13.4518          2482.7 
0201     110    -999    183.5925     14.9786    183.5925     14.9787           -91.8 
0202    -999    -999    183.5981      6.7645    183.5979      6.7642          2153.2 
0203    -999    -999    183.6171      5.9085    183.6173      5.9086          1942.8 
0204     113    -999    183.6375     12.1032    183.6373     12.1032          2140.9 
0205     115    -999    183.6447     11.8593    183.6447     11.8598          1383.8 
0206     117    -999    183.6487      9.1997    183.6487      9.1998          1497.4 
0207     119    -999    183.6571     12.8134    183.6539     12.8119           596.1 
0208     120    4197    183.6610      5.8066    183.6621      5.8086          2052.8 
0209    -999    -999    183.6794     10.5331    183.6793     10.5331          2079.0 
0210     122    4200    183.6843     12.1807    183.6843     12.1808          2348.9 
0211    -999    -999    183.6856     12.7896    183.6858     12.7897          2290.9 
0212    -999    -999    183.6870      6.1545    183.6869      6.1545          2065.5 
0213    -999    -999    183.7076     17.7191    183.7073     17.7190          2396.2 
0214    -999    -999    183.7229      9.6700    183.7231      9.6700          1700.4 
0215     126    -999    183.7300     13.4604    183.7300     13.4614           277.6 
0216    -999    -999    183.7362     20.8974    183.7362     20.8973           933.8 
0217    -999    -999    183.7419      7.8843    183.7417      7.8844          2485.2 
0218     127    -999    183.7442     11.8642    183.7442     11.8639          1379.6 
0219     130    -999    183.7666      9.7537    183.7667      9.7537          2216.9 
0220     131    -999    183.7684     14.0290    183.7685     14.0290          2341.0 
0221     135    -999    183.7784     12.0166    183.7780     12.0167          2421.5 
0222     137    -999    183.7856     14.9720    183.7856     14.9719          1179.1 
0223     140    -999    183.8024     14.4329    183.8023     14.4329           997.4 
0224    -999    4204    183.8122     20.6589    183.8102     20.6586           881.5 
0225     143    -999    183.8186     13.4735    183.8191     13.4731           377.6 
0226     145    4206    183.8201     13.0242    183.8200     13.0240           708.0 
0227    -999    -999    183.8214      6.3932    183.8214      6.3932          2137.3 
0228     144    -999    183.8264      5.7610    183.8264      5.7609          2019.1 
0229    -999    -999    183.8296      2.9277    183.8289      2.9273          1360.9 
0230    -999    -999    183.8638     10.5124    183.8638     10.5124          1497.4 
0231     152    4207    183.8765      9.5851    183.8771      9.5849           637.9 
0232     159    -999    183.9122      8.2845    183.9128      8.2827          2601.2 
0233     157    4208    183.9137     13.9022    183.9223     13.9011          -156.8 
0234     158    -999    183.9172     15.0059    183.9170     15.0055          1073.5 
0235     168    -999    183.9742     14.0252    183.9742     14.0249           788.8 
0236     167    4216    183.9758     13.1486    183.9812     13.1632           -75.9 
0237     170    -999    183.9848     14.4331    183.9847     14.4330          1383.1 
0238     173    -999    184.0017      8.2023    184.0017      8.2023           710.8 
0239     172    -999    184.0020      4.6504    184.0015      4.6510          2219.7 
0240     178    -999    184.0378     12.6913    184.0378     12.6913          1098.3 
0241    -999    -999    184.0418     15.1236    184.0420     15.1237           570.0 
0242     179    -999    184.0481     11.3604    184.0480     11.3604          2570.2 
0243    -999    -999    184.0531      7.4560    184.0532      7.4560          2348.6 
0244     180    -999    184.0543      7.9292    184.0543      7.9291          2239.6 
0245     181    -999    184.0611     13.5860    184.0608     13.5866          -148.8 
0246     183    -999    184.0640     14.2427    184.0640     14.2421           295.1 
0247    -999    -999    184.0859     14.7742    184.0859     14.7739           525.5 
0248    -999    -999    184.1036      7.4878    184.1037      7.4879          2214.5 
0249    -999    -999    184.1127      6.0525    184.1124      6.0521          2021.5 
0250     200    -999    184.1404     13.0316    184.1404     13.0316            16.5 
0251     199    4224    184.1408      7.4619    184.1408      7.4621          2599.0 
0252    -999    -999    184.1419     10.2063    184.1418     10.2063          2087.9 
0253     201    -999    184.1465      7.0416    184.1467      7.0417          2306.2 
0254    -999    -999    184.1611     -1.4516    184.1612     -1.4519           894.4 
0255    -999    -999    184.1802     24.7185    184.1802     24.7185           996.4 
0256     207    -999    184.1992      8.0492    184.1996      8.0490          2585.7 
0257    -999    -999    184.2082     13.5040    184.2074     13.5041           -87.3 
0258    -999    -999    184.2089      7.8624    184.2088      7.8625          2207.2 
0259    -999    -999    184.2109     18.3392    184.2109     18.3392          1005.8 
0260     209    -999    184.2187     14.5146    184.2182     14.5146          1338.3 
0261     213    -999    184.2335     13.6255    184.2334     13.6254          -166.1 
0262     215    -999    184.2428     12.2635    184.2428     12.2635          2074.4 
0263     216    -999    184.2546      9.4076    184.2546      9.4076          1280.9 
0264     217    -999    184.2676     10.0054    184.2676     10.0055          1212.7 
0265     218    -999    184.2725     12.2895    184.2731     12.2898           402.0 
0266    -999    -999    184.2798      7.7338    184.2798      7.7339          2258.9 
0267     220    4233    184.2820      7.6243    184.2820      7.6244          2290.1 
0268     221    4234    184.2875      3.6822    184.2829      3.6823          2060.2 
0269     224    -999    184.2887     12.4537    184.2887     12.4540          2175.3 
0270     222    4235    184.2912      7.1915    184.2912      7.1916          2225.1 
0271     223    -999    184.2946      6.4318    184.2946      6.4318          2087.6 
0272     226    4237    184.2981     15.3236    184.2976     15.3240           867.7 
0273     227    -999    184.3108      8.9424    184.3105      8.9422          1491.5 
0274    -999    4239    184.3123     16.5313    184.3123     16.5313           914.5 
0275     230    -999    184.3319     11.9434    184.3319     11.9435          1429.9 
0276    -999    -999    184.3423      5.4289    184.3427      5.4292          2167.4 
0277     234    4223    184.3575      6.6900    184.3575      6.6901          2244.3 
0278     235    -999    184.3606     13.7371    184.3606     13.7370          1383.1 
0279    -999    -999    184.3636     17.6505    184.3636     17.6505           956.6 
0280    -999    -999    184.3670     12.9323    184.3669     12.9323          2075.9 
0281     236    -999    184.3706      8.5328    184.3706      8.5328          1408.5 
0282     241    -999    184.3906     12.3880    184.3906     12.3881          -141.5 
0283    -999    -999    184.3925     22.5405    184.3917     22.5401           408.8 
0284    -999    -999    184.4218      5.6207    184.4219      5.6208          2644.1 
0285    -999    -999    184.4365      6.0826    184.4365      6.0827          2476.6 
0286    -999    -999    184.4416      6.1394    184.4417      6.1394          2981.9 
0287    -999    -999    184.4443      5.3767    184.4442      5.3767          2013.2 
0288     256    -999    184.4472      4.4785    184.4471      4.4785          2108.5 
0289     261    -999    184.4695     13.1767    184.4695     13.1767          1669.8 
0290     260    -999    184.4709      5.0277    184.4702      5.0270          1730.7 
0291    -999    -999    184.4819      6.1127    184.4819      6.1127          2549.1 
0292     266    4249    184.4975      5.5986    184.4975      5.5986          2613.5 
0293     267    4241    184.5007      6.6537    184.4996      6.6542           758.8 
0294    -999    -999    184.5180     14.7532    184.5177     14.7529          1597.6 
0295    -999    -999    184.5204      7.7458    184.5204      7.7458          2165.9 
0296     270    -999    184.5284      5.6845    184.5284      5.6845          2561.5 
0297     274    -999    184.5311      5.9303    184.5300      5.9306          1876.7 
0298    -999    -999    184.5485      4.6446    184.5484      4.6445          2121.1 
0299     278    -999    184.5600      6.6038    184.5601      6.6036          2587.1 
0300     281    -999    184.5638     13.7492    184.5639     13.7492           242.6 
0301     282    -999    184.5747      4.4026    184.5747      4.4022          2014.6 
0302    -999    -999    184.5750      7.1280    184.5749      7.1281          2686.8 
0303    -999    -999    184.5844      5.1168    184.5844      5.1168          2675.5 
0304    -999    -999    184.5858      4.8537    184.5857      4.8538          2099.4 
0305     286    -999    184.6172      5.6156    184.6170      5.6157          1833.9 
0306    -999    -999    184.6180      6.0761    184.6181      6.0761          2250.9 
0307     287    -999    184.6188      6.4058    184.6188      6.4058          2091.3 
0308     289    4252    184.6287      5.5595    184.6287      5.5595           833.9 
0309     292    -999    184.6321      5.8500    184.6322      5.8498          2307.0 
0310     293    -999    184.6326     13.1912    184.6328     13.1912           957.7 
0311     297    -999    184.6611      6.7081    184.6609      6.7084          2000.5 
0312     299    -999    184.6662     13.5985    184.6662     13.5982           210.9 
0313    -999    -999    184.6741     17.7185    184.6742     17.7186           693.9 
0314     300    -999    184.6758      5.6654    184.6757      5.6654          1389.0 
0315     303    -999    184.6787      5.7889    184.6787      5.7889          2570.5 
0316     304    -999    184.6832     12.3861    184.6832     12.3858           154.8 
0317    -999    -999    184.6881      6.2631    184.6880      6.2632          2506.9 
0318    -999    -999    184.6962      1.3815    184.6964      1.3817          1662.1 
0319     307    4254    184.7070     14.4182    184.7024     14.4150          2353.4 
0320     315    -999    184.7523      6.0946    184.7523      6.0946          1462.2 
0321     318    -999    184.7633      8.8558    184.7638      8.8523          2449.1 
0322     322    -999    184.7711     13.9810    184.7712     13.9812          -438.6 
0323     320    -999    184.7713      4.6602    184.7714      4.6615          2370.1 
0324     323    4257    184.7770      5.7259    184.7770      5.7260          2716.0 
0325    -999    -999    184.7814      7.6344    184.7822      7.6340          2689.4 
0326     324    -999    184.7911      3.8552    184.7912      3.8565          1533.3 
0327     328    -999    184.7968     12.8851    184.7970     12.8835          2226.9 
0328     327    -999    184.8016      6.3816    184.8016      6.3816          2827.9 
0329     330    -999    184.8019     12.8518    184.8019     12.8519           751.8 
0330     329    -999    184.8076      5.9867    184.8075      5.9869          1613.5 
0331     334    -999    184.8092     13.8823    184.8093     13.8824          -213.6 
0332     331    -999    184.8150      6.2937    184.8148      6.2940           656.8 
0333     335    -999    184.8183     15.3962    184.8184     15.3960          1986.1 
0334    -999    -999    184.8213      5.5785    184.8213      5.5784          2508.7 
0335     338    -999    184.8342      5.4668    184.8342      5.4668          2428.3 
0336     339    -999    184.8361      6.7051    184.8361      6.7051          2215.7 
0337    -999    -999    184.8381      4.7733    184.8380      4.7735          2087.6 
0338     340    -999    184.8423      5.9109    184.8422      5.9104          1499.8 
0339     342    4259    184.8425      5.3764    184.8425      5.3764          2485.0 
0340     341    4260    184.8434      6.0996    184.8427      6.0987          1787.1 
0341     344    -999    184.8462      5.7950    184.8462      5.7948          2044.3 
0342     345    4261    184.8470      5.8249    184.8458      5.8251          2194.4 
0343    -999    -999    184.8473     19.5873    184.8473     19.5874           946.4 
0344     346    -999    184.8492      6.2331    184.8492      6.2330          1864.8 
0345     350    -999    184.8586     13.3103    184.8578     13.3109           315.0 
0346    -999    -999    184.8654      4.5785    184.8657      4.5785          1582.8 
0347     351    -999    184.8658      5.0475    184.8657      5.0475          1861.2 
0348    -999    -999    184.8688      6.2730    184.8688      6.2730          1528.9 
0349    -999    -999    184.8695     17.2305    184.8695     17.2305           917.6 
0350     358    4264    184.8990      5.8468    184.8990      5.8468          2521.2 
0351     361    -999    184.9043     15.1621    184.9044     15.1622          1215.7 
0352    -999    -999    184.9139      7.1197    184.9139      7.1198          2605.7 
0353     369    4267    184.9386     12.7982    184.9512     12.7907           949.5 
0354     366    -999    184.9389      6.0060    184.9388      6.0059          2249.2 
0355     371    4268    184.9467      5.2837    184.9467      5.2838          2016.1 
0356    -999    -999    184.9548      5.1850    184.9548      5.1850          1969.3 
0357    -999    -999    184.9713      1.7733    184.9717      1.7735          2000.2 
0358    -999    -999    184.9738      6.0323    184.9739      6.0323          1992.8 
0359     382    4273    184.9833      5.3424    184.9828      5.3441          2345.6 
0360     389    -999    185.0137     14.9615    185.0137     14.9615          1359.7 
0361     388    -999    185.0144      6.0105    185.0145      6.0107          2128.5 
0362     386    4277    185.0155      5.3413    185.0155      5.3414          2194.0 
0363     390    -999    185.0166      5.4147    185.0166      5.4146          2407.1 
0364     393    4276    185.0308      7.6907    185.0312      7.6919          2651.7 
0365     394    -999    185.0356      9.4678    185.0359      9.4680          1792.3 
0366    -999    -999    185.0479      1.9586    185.0477      1.9586          2041.6 
0367     397    -999    185.0508      6.6232    185.0508      6.6232          2472.1 
0368    -999    -999    185.0579      5.0186    185.0579      5.0184          1497.4 
0369     402    -999    185.0673      5.0392    185.0674      5.0392          2503.6 
0370     404    -999    185.0724      4.2015    185.0723      4.2017          1729.2 
0371     407    -999    185.0784      9.5454    185.0782      9.5453          1880.4 
0372    -999    -999    185.0840      9.7971    185.0839      9.7972          1182.5 
0373     410    -999    185.0912     12.1877    185.0907     12.1878           274.1 
0374     409    -999    185.0966      6.1350    185.0964      6.1349          2357.8 
0375     413    -999    185.0972     13.8980    185.0975     13.8979           268.9 
0376     411    4282    185.1012      5.5729    185.1012      5.5728           930.3 
0377     415    -999    185.1055      6.9088    185.1054      6.9084          2549.0 
