ra,dec
280.712494,-05.599083
280.860779,-06.067752
281.262909,-05.891972
280.748810,-05.917677
280.493378,-05.805357
278.678986,-09.601912
280.601044,-06.733901
264.587585,-29.950254
265.438965,-24.807569
276.864136,-15.356687
265.432434,-28.677076
275.887390,-16.638229
265.952667,-23.817608
267.901825,-28.958164
276.935211,-15.583526
268.129364,-28.530249
258.199982,-25.185045
268.207855,-28.159264
268.375641,-25.658083
269.014648,-27.560505
270.804657,-25.225044
268.761200,-27.935699
257.617523,-25.798397
279.056213,-06.806372
277.000152,-25.872801
279.776489,-06.584713
269.390777,-27.429079
268.767639,-25.784260
268.798370,-25.612196
268.126221,-27.560459
270.635132,-16.675625
283.266968,-01.860882
282.864685,-01.941354
282.630219,-01.402636
283.338104,-01.582179
263.508057,-29.863995
282.206482,-02.267644
263.557159,-29.759975
262.621460,-27.105703
261.197998,-29.071842
269.751892,-25.226087
269.707459,-25.311258
269.346374,-25.929483
268.299408,-28.293144
269.119659,-28.834802
268.710999,-28.976124
269.545257,-28.741203
269.317077,-28.994984
268.813873,-28.882921
269.028473,-28.487947
268.754150,-28.024199
269.894653,-28.763104
268.547272,-28.784185
268.549682,-28.313522
013.920267,+67.575401
095.911941,+12.279715
007.583032,+64.214134
276.975861,+09.981874
296.541229,+24.049744
296.171661,+13.052854
294.554047,+09.402532
296.533051,+24.152304
012.524775,+65.072586
282.962402,+09.408824
254.685654,+03.016876
012.565905,+65.036133
013.382522,+65.754051
012.867018,+64.947701
023.937807,+58.239250
298.429749,+14.685924
296.957062,+23.907804
297.440857,+23.518818
297.235718,+24.862484
297.751862,+24.097469
115.716980,+13.236123
095.782547,+04.175720
048.595459,+59.249168
359.044586,+72.338302
284.596252,+07.881579
282.932739,+12.684252
283.636047,+00.104002
279.463592,+47.389874
285.878967,+08.298720
035.299702,+63.605091
285.316681,+06.835615
102.799049,+13.937669
293.515320,+16.747765
285.311584,+06.960255
082.093330,+26.780985
012.448051,+63.636116
333.805206,+71.195046
285.547180,+07.846849
294.704407,+21.903902
099.733467,+54.494583
295.331787,+21.679096
350.593658,+75.502426
283.383881,+11.750415
041.724277,+69.108719
080.072952,+39.282700
278.056396,+05.081807
053.377796,+60.807007
099.984802,+13.183412
289.543366,+14.068983
099.295639,+13.682712
082.472466,+46.481373
290.271637,+10.612192
284.804626,+06.845274
095.811066,+07.835816
295.509705,+16.103533
034.062347,+61.751926
286.757507,+11.436318
083.058029,+34.100399
067.220909,+45.263439
067.824264,+45.188431
067.301147,+44.702431
044.311539,+56.121334
285.098541,+16.403399
090.507500,+13.007538
287.794739,+11.950586
287.964416,+12.496304
090.767319,+31.447508
092.358215,+21.403027
281.513611,+01.105466
290.827637,+17.752480
210.486145,+09.533513
280.450104,+02.687672
095.608864,+17.153811
095.588936,+16.573347
287.721527,+08.776389
287.906097,+11.740119
287.165192,+11.678126
258.576660,+21.372139
290.733521,+18.709047
089.210884,+48.579067
288.448273,+15.328976
350.144867,+62.136543
288.474152,+12.978756
296.123169,+14.569307
291.441192,+24.184349
296.586151,+14.702563
293.372681,+30.069433
082.277611,+69.354507
349.239929,+61.542580
350.966461,+62.111687
004.704355,+58.622841
064.397766,+50.748749
