JD,Vmag
2458277.500000000,15.534
2458278.500000000,15.552
2458279.500000000,15.571
2458280.500000000,15.590
2458281.500000000,15.609
2458282.500000000,15.627
2458283.500000000,15.646
2458284.500000000,15.665
2458285.500000000,15.683
2458286.500000000,15.702
2458287.500000000,15.720
2458288.500000000,15.739
2458289.500000000,15.757
2458290.500000000,15.775
2458291.500000000,15.793
2458292.500000000,15.811
2458293.500000000,15.829
2458294.500000000,15.847
2458295.500000000,15.865
2458296.500000000,15.882
2458297.500000000,15.900
2458298.500000000,15.917
2458299.500000000,15.934
2458300.500000000,15.951
2458301.500000000,15.968
2458302.500000000,15.985
2458303.500000000,16.001
2458304.500000000,16.018
2458305.500000000,16.034
2458306.500000000,16.050
2458307.500000000,16.066
2458308.500000000,16.082
2458309.500000000,16.098
2458310.500000000,16.113
2458311.500000000,16.129
2458312.500000000,16.144
2458313.500000000,16.159
2458314.500000000,16.174
2458315.500000000,16.188
2458316.500000000,16.203
2458317.500000000,16.217
2458318.500000000,16.231
2458319.500000000,16.245
2458320.500000000,16.259
2458321.500000000,16.272
2458322.500000000,16.285
2458323.500000000,16.299
2458324.500000000,16.311
2458325.500000000,16.324
2458326.500000000,16.337
2458327.500000000,16.349
2458328.500000000,16.361
2458329.500000000,16.373
2458330.500000000,16.385
2458331.500000000,16.397
2458332.500000000,16.408
2458333.500000000,16.419
2458334.500000000,16.430
2458335.500000000,16.441
2458336.500000000,16.452
2458337.500000000,16.462
2458338.500000000,16.472
2458339.500000000,16.483
2458340.500000000,16.492
2458341.500000000,16.502
2458342.500000000,16.512
2458343.500000000,16.521
2458344.500000000,16.530
2458345.500000000,16.539
2458346.500000000,16.548
2458347.500000000,16.557
2458348.500000000,16.565
2458349.500000000,16.573
2458350.500000000,16.581
2458351.500000000,16.589
2458352.500000000,16.597
2458353.500000000,16.604
2458354.500000000,16.612
2458355.500000000,16.619
2458356.500000000,16.626
2458357.500000000,16.633
2458358.500000000,16.639
2458359.500000000,16.646
2458360.500000000,16.652
2458361.500000000,16.658
2458362.500000000,16.664
2458363.500000000,16.670
2458364.500000000,16.676
2458365.500000000,16.681
2458366.500000000,16.686
2458367.500000000,16.692
2458368.500000000,16.697
2458369.500000000,16.701
2458370.500000000,16.706
2458371.500000000,16.711
2458372.500000000,16.715
2458373.500000000,16.719
2458374.500000000,16.723
2458375.500000000,16.727
2458376.500000000,16.731
2458377.500000000,16.734
2458378.500000000,16.738
2458379.500000000,16.741
2458380.500000000,16.744
2458381.500000000,16.747
2458382.500000000,16.750
2458383.500000000,16.753
2458384.500000000,16.755
2458385.500000000,16.758
2458386.500000000,16.760
2458387.500000000,16.762
2458388.500000000,16.764
2458389.500000000,16.766
2458390.500000000,16.768
2458391.500000000,16.769
2458392.500000000,16.771
2458393.500000000,16.772
2458394.500000000,16.773
2458395.500000000,16.775
2458396.500000000,16.775
2458397.500000000,16.776
2458398.500000000,16.777
2458399.500000000,16.777
2458400.500000000,16.778
2458401.500000000,16.778
2458402.500000000,16.778
2458403.500000000,16.778
2458404.500000000,16.778
2458405.500000000,16.778
2458406.500000000,16.778
2458407.500000000,16.777
2458408.500000000,16.776
2458409.500000000,16.776
2458410.500000000,16.775
2458411.500000000,16.774
2458412.500000000,16.773
2458413.500000000,16.772
2458414.500000000,16.770
2458415.500000000,16.769
2458416.500000000,16.767
2458417.500000000,16.766
2458418.500000000,16.764
2458419.500000000,16.762
2458420.500000000,16.760
2458421.500000000,16.758
2458422.500000000,16.756
2458423.500000000,16.753
2458424.500000000,16.751
2458425.500000000,16.748
2458426.500000000,16.746
2458427.500000000,16.743
2458428.500000000,16.740
2458429.500000000,16.737
2458430.500000000,16.734
2458431.500000000,16.730
2458432.500000000,16.727
2458433.500000000,16.724
2458434.500000000,16.720
2458435.500000000,16.716
2458436.500000000,16.713
2458437.500000000,16.709
2458438.500000000,16.705
2458439.500000000,16.701
2458440.500000000,16.696
2458441.500000000,16.692
2458442.500000000,16.688
2458443.500000000,16.683
2458444.500000000,16.678
2458445.500000000,16.674
2458446.500000000,16.669
2458447.500000000,16.664
2458448.500000000,16.659
2458449.500000000,16.654
2458450.500000000,16.649
2458451.500000000,16.643
2458452.500000000,16.638
2458453.500000000,16.632
2458454.500000000,16.627
2458455.500000000,16.621
2458456.500000000,16.615
2458457.500000000,16.609
2458458.500000000,16.603
2458459.500000000,16.597
2458460.500000000,16.590
2458461.500000000,16.584
2458462.500000000,16.578
2458463.500000000,16.571
2458464.500000000,16.564
2458465.500000000,16.557
2458466.500000000,16.551
2458467.500000000,16.544
2458468.500000000,16.536
2458469.500000000,16.529
2458470.500000000,16.522
2458471.500000000,16.514
2458472.500000000,16.507
2458473.500000000,16.499
2458474.500000000,16.491
2458475.500000000,16.483
2458476.500000000,16.475
2458477.500000000,16.467
2458478.500000000,16.459
2458479.500000000,16.451
2458480.500000000,16.442
2458481.500000000,16.434
2458482.500000000,16.425
2458483.500000000,16.416
2458484.500000000,16.407
2458485.500000000,16.398
2458486.500000000,16.389
2458487.500000000,16.380
2458488.500000000,16.370
2458489.500000000,16.361
2458490.500000000,16.351
2458491.500000000,16.341
2458492.500000000,16.331
2458493.500000000,16.321
2458494.500000000,16.310
2458495.500000000,16.300
2458496.500000000,16.289
2458497.500000000,16.279
2458498.500000000,16.268
2458499.500000000,16.256
